,North America,,"36,453,244","+6,115","830,579",+616,"28,198,785","+4,055","7,423,880","15,950",,,,,,North America,,,,
,South America,,"21,956,794","+1,076","577,701",+19,"19,677,486","+1,025","1,701,607","21,618",,,,,,South America,,,,
,Asia,,"30,071,247","+14,633","440,142",+159,"27,068,100","+9,981","2,563,005","27,196",,,,,,Asia,,,,
,Europe,,"40,855,991","+35,854","937,594",+855,"28,979,600","+28,755","10,938,797","32,879",,,,,,Europe,,,,
,Africa,,"4,336,627",,"114,877",,"3,885,966",,"335,784","3,240",,,,,,Africa,,,,
,Oceania,,"58,861",+35,"1,151",+1,"34,640",+12,"23,070",5,,,,,,Australia/Oceania,,,,
,,,721,,15,,706,,0,0,,,,,,,,,,
World,"133,733,485","+57,713","2,902,059","+1,650","107,845,283","+43,828","22,986,143","100,888","17,157",372.3,,,,All,,,,
Bangladesh,"659,278",,"9,447 ",,"561,639",,"88,192",,"3,973",57,"4,882,565","29,423","165,944,401 ",Asia,"25217,56634"
Jordan,"650,681",,"7,469 ",,"570,327",,"72,885",729,"63,292",727,"6,198,917","602,972","10,280,612 ",Asia,"161,3762"
Serbia,"629,388",,"5,579 ",,"536,672",,"87,137",267,"72,258",641,"3,531,777","405,471","8,710,312 ",Europe,"141,5612"
Switzerland,"612,575",,"10,432 ",,"554,729",,"47,414",186,"70,386","1,199","6,260,306","719,320","8,703,085 ",Europe,148341
Austria,"566,008",,"9,546 ",,"522,774",,"33,688",581,"62,572","1,055","25,515,997","2,820,765","9,045,771 ",Europe,169480
Morocco,"499,688",,"8,867 ",,"486,349",,"4,472",251,"13,416",238,"6,051,185","162,470","37,244,942 ",Africa,"754,2006"
Japan,"489,576",,"9,279 ",,"455,382",,"24,915",456,"3,880",74,"10,185,014","80,719","126,178,877 ",Asia,"25813,59812"
Lebanon,"485,918",,"6,512 ",,"391,197",,"88,209",875,"71,438",957,"3,632,919","534,100","6,801,941 ",Asia,"141,0452"
UAE,"476,019",,"1,520 ",,"460,841",,"13,658",,"47,689",152,"39,287,609","3,935,953","9,981,727 ",Asia,"216,5670"
Saudi Arabia,"394,952",,"6,719 ",,"381,189",,"7,044",852,"11,211",191,"15,533,915","440,958","35,227,614 ",Asia,"895,2432"
